form	lemma	POS	morph
		
༄༅། །		PUNCT
ཨེ་ཝཾ་	ཨེ་ཝཾ་	X
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
། །		PUNCT
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
ངོ་སྤྲོད་	ངོ་སྤྲོད་	NOUN
ཀྱི་	གི་	PART
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
མདོ་	མདོ་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
མཐའ་དག་	མཐའ་དག་	DET
གི་	གི་	PART
ཨེ་ཝཾ་	ཨེ་ཝཾ་	X
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	སོ་	PART
"། །

༄༅། །"		PUNCT
གཉིས་པ་	གཉིས་པ་	NUM
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
ཀྱི་	གི་	PART
ཐེག་པ་	ཐེག་པ་	NOUN
སོ་སོ་	སོ་སོ་	PRON
ན་	ནས་	PART
འབྱུང་བ་	འབྱུང་བ་	VERB
འི་	གི་	PART
ས་ལམ་	ས་ལམ་	OTHER
སྦྱོར་	སྦྱོར་	VERB
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	ADP
།		PUNCT
སྔོན་རབས་	སྔོན་རབས་	NO_POS
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
གྲག་	གྲག་	VERB
ལྡན་	ལྡན་	VERB
དག་	དག་	DET
གི་	གི་	PART
ཇི་ལྟ་		
འཆད་	འཆད་	VERB
ཚུལ་	ཚུལ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
རྗེ་བཙུན་པ་	རྗེ་བཙུན་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
དགོངས་པ་	དགོངས་པ་	VERB
ལེགས་པ་	ལེགས་པ་	VERB
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	ADP
བཞེད་པ་	བཞེད་པ་	VERB
འི་	གི་	PART
རྣམ་	རྣམ་	NOUN
གྲངས་	གྲངས་	NOUN
བསྐྱར་བ་	བསྐྱར་བ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དེ་	དེ་	DET
ལ་	ལ་	ADP
ཅུང་ཟད་	ཅུང་ཟད་	ADV
དཔྱད་པ་	དཔྱད་པ་	VERB
འོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
རྒྱ་བོད་	རྒྱ་བོད་	PROPN
ཀྱི་	གི་	PART
སྐྱེས་ཆེན་	སྐྱེས་ཆེན་	OTHER
